publisher,doi,save_as,title,link
ACM,10.1145/3488932.3527294,pdf/3488932_3527294.pdf,Leveraging Spectral Representations of Control Flow Graphs for Efficient Analysis of Windows Malware,https://doi.org/hb28vw
ACM,10.1145/3494108.3522768,pdf/3494108_3522768.pdf,MLxPack: Investigating the Effects of Packers on ML-based Malware Detection Systems Using Static and Dynamic Traits,https://doi.org/hb28vv
Elsevier,10.1016/J.ASOC.2024.111749,pdf/J_ASOC_2024_111749.pdf,Information fusion-based Bayesian optimized heterogeneous deep ensemble model based on longitudinal neuroimaging data,https://doi.org/hb28vm
Elsevier,10.1016/J.INFFUS.2022.11.028,pdf/J_INFFUS_2022_11_028.pdf,Prediction of Alzheimer's progression based on multimodal Deep-Learning-based fusion and visual Explainability of time-series data,https://doi.org/g9b3cx
Elsevier,10.1016/J.JAG.2022.102854,pdf/J_JAG_2022_102854.pdf,Integration of machine learning algorithms and GIS-based approaches to cutaneous leishmaniasis prevalence risk mapping,https://doi.org/g9fxqr
Elsevier,10.1016/J.JENVMAN.2024.120682,pdf/J_JENVMAN_2024_120682.pdf,Spatial mapping of land susceptibility to dust emissions using optimization of attentive Interpretable Tabular Learning (TabNet) model,https://doi.org/g9vswn
Elsevier,10.1016/b978-0-12-815370-3.00004-9,pdf/b978-0-12-815370-3_00004-9.pdf,Reasoning methodologies in clinical decision support systems: A literature review,https://doi.org/g9cmdr
Elsevier,10.1016/b978-0-12-815370-3.00007-4,pdf/b978-0-12-815370-3_00007-4.pdf,Ontology enhanced fuzzy clinical decision support system,https://doi.org/g9cmdn
Elsevier,10.1016/b978-0-12-815370-3.00013-x,pdf/b978-0-12-815370-3_00013-x.pdf,Ontology-based electronic health record semantic interoperability: A survey,https://doi.org/g9cmdp
Elsevier,10.1016/b978-0-12-815370-3.00014-1,pdf/b978-0-12-815370-3_00014-1.pdf,A unified fuzzy ontology for distributed electronic health record semantic interoperability,https://doi.org/g9cmdj
Elsevier,10.1016/b978-0-443-27448-0.00007-x,pdf/b978-0-443-27448-0_00007-x.pdf,Smart healthcare: fusion of multimodal medical signals,https://doi.org/hb3f68
Elsevier,10.1016/b978-0-443-36370-2.00011-6,pdf/b978-0-443-36370-2_00011-6.pdf,Digital twin and sensor networks for healthcare monitoring frameworks,https://doi.org/hb3f7c
Elsevier,10.1016/j.aej.2023.09.050,pdf/j_aej_2023_09_050.pdf,Time-series visual explainability for Alzheimer’s disease progression detection for smart healthcare,https://doi.org/g9b3cj
Elsevier,10.1016/j.artmed.2015.08.003,pdf/j_artmed_2015_08_003.pdf,A fuzzy-ontology-oriented case-based reasoning framework for semantic diabetes diagnosis,https://doi.org/f73bdn
Elsevier,10.1016/j.asoc.2026.115590,pdf/j_asoc_2026_115590.pdf,Explainable ensemble learning framework for anxiety and stress detection in pediatric sleep EEG,https://doi.org/hb6fhj
Elsevier,10.1016/j.cmpb.2023.107495,pdf/j_cmpb_2023_107495.pdf,Explainable machine learning models based on multimodal time-series data for the early detection of Parkinson’s disease,https://doi.org/gtgxft
Elsevier,10.1016/j.engappai.2026.114291,pdf/j_engappai_2026_114291.pdf,"Trustworthy Alzheimer’s diagnosis: Integrating robustness, fairness, and explainability in neuroimaging based deep ensemble framework",https://doi.org/hbq4s7
Elsevier,10.1016/j.eswa.2025.129812,pdf/j_eswa_2025_129812.pdf,GraphShield: Advanced dynamic graph-based malware detection using graph neural networks,https://doi.org/g95wqv
Elsevier,10.1016/j.future.2018.12.038,pdf/j_future_2018_12_038.pdf,Code authorship identification using convolutional neural networks,https://doi.org/g9b3dw
Elsevier,10.1016/j.future.2020.07.047,pdf/j_future_2020_07_047.pdf,An intelligent healthcare monitoring framework using wearable sensors and social networking data,https://doi.org/gtgsq9
Elsevier,10.1016/j.future.2020.10.005,pdf/j_future_2020_10_005.pdf,Alzheimer’s disease progression detection model based on an early fusion of cost-effective multimodal data,https://doi.org/g9b3df
Elsevier,10.1016/j.inffus.2020.06.008,pdf/j_inffus_2020_06_008.pdf,A smart healthcare monitoring system for heart disease prediction based on ensemble deep learning and feature fusion,https://doi.org/gn9ttq
Elsevier,10.1016/j.inffus.2023.101805,pdf/j_inffus_2023_101805.pdf,Explainable Artificial Intelligence (XAI): What we know and what is left to attain Trustworthy Artificial Intelligence,https://doi.org/gsrxxb
Elsevier,10.1016/j.inffus.2026.104507,pdf/j_inffus_2026_104507.pdf,"Toward Trustworthy Digital Healthcare: A System-Level Convergence of IoMT, Large Language Models, and Explainable AI",https://doi.org/hb54n2
Elsevier,10.1016/j.jallcom.2021.162104,pdf/j_jallcom_2021_162104.pdf,Age-hardening behavior guided by the multi-objective evolutionary algorithm and machine learning,https://doi.org/gqb5kb
Elsevier,10.1016/j.jbi.2022.104216,pdf/j_jbi_2022_104216.pdf,Multilayer dynamic ensemble model for intensive care unit mortality prediction of neonate patients,https://doi.org/g9b3c4
Elsevier,10.1016/j.jestch.2017.03.009,pdf/j_jestch_2017_03_009.pdf,A fuzzy ontology modeling for case base knowledge in diabetes mellitus domain,https://doi.org/grfqjz
Elsevier,10.1016/j.jksuci.2013.03.005,pdf/j_jksuci_2013_03_005.pdf,A distributed clinical decision support system architecture,https://doi.org/gg7mqw
Elsevier,10.1016/j.jksuci.2015.10.002,pdf/j_jksuci_2015_10_002.pdf,An encoding methodology for medical knowledge using SNOMED CT ontology,https://doi.org/ggmd56
Elsevier,10.1016/j.jmat.2021.11.004,pdf/j_jmat_2021_11_004.pdf,Crystal structure guided machine learning for the discovery and design of intrinsically hard materials,https://doi.org/g9b3c7
Elsevier,10.1016/j.knosys.2019.02.033,pdf/j_knosys_2019_02_033.pdf,Transportation sentiment analysis using word embedding and ontology-based topic modeling,https://doi.org/gf8t8b
Elsevier,10.1016/j.knosys.2025.115104,pdf/j_knosys_2025_115104.pdf,Multi-plane multi-slice longitudinal MRI for deep ensemble progression detection based on enhanced residual multi-head self-attention,https://doi.org/hb28vf
Elsevier,10.1016/j.mtcomm.2020.101897,pdf/j_mtcomm_2020_101897.pdf,Machine learning-aided design of aluminum alloys with high performance,https://doi.org/gqb5kd
Elsevier,10.1016/j.neucom.2020.05.087,pdf/j_neucom_2020_05_087.pdf,Multimodal multitask deep learning model for Alzheimer’s disease progression detection based on time series data,https://doi.org/gjgtgg
Elsevier,10.1016/j.neucom.2022.09.009,pdf/j_neucom_2022_09_009.pdf,Automatic detection of Alzheimer’s disease progression: An efficient information fusion approach with heterogeneous ensemble classifiers,https://doi.org/g9b3c3
Elsevier,10.1016/j.pmcj.2024.101922,pdf/j_pmcj_2024_101922.pdf,MotionID: Towards practical behavioral biometrics-based implicit user authentication on smartphones,https://doi.org/hb28vn
IEEE,10.1109/ACCESS.2021.3052870,pdf/ACCESS_2021_3052870.pdf,Automatic Diabetic Retinopathy Grading System Based on Detecting Multiple Retinal Lesions,https://doi.org/g9b3dj
IEEE,10.1109/ACCESS.2022.3229440,pdf/ACCESS_2022_3229440.pdf,An IoT-Based Approach for Learning Geometric Shapes in Early Childhood,https://doi.org/g4n4s4
IEEE,10.1109/ICC.2012.6364127,pdf/ICC_2012_6364127.pdf,Collaboration in social network-based information dissemination,https://doi.org/hb28vz
IEEE,10.1109/ICEENG64546.2025.11031335,pdf/ICEENG64546_2025_11031335.pdf,Chronic Kidney Disease Detection Augmented with Hybrid Explainable AI,https://doi.org/hb28vg
IEEE,10.1109/JBHI.2022.3202178,pdf/JBHI_2022_3202178.pdf,Multitask Deep Learning for Cost-Effective Prediction of Patient's Length of Stay and Readmission State Using Multimodal Physical Activity Sensory Data,https://doi.org/g9b3cz
IEEE,10.1109/JBHI.2025.3631655,pdf/JBHI_2025_3631655.pdf,4DfCF: 4D fMRI CrossFormer Vision Transformer,https://doi.org/hb3f6z
IEEE,10.1109/JIOT.2020.2975779,pdf/JIOT_2020_2975779.pdf,AUTo<i>Sen</i>: Deep-Learning-Based Implicit Continuous Authentication Using Smartphone Sensors,https://doi.org/gn7t2d
IEEE,10.1109/SVCC61185.2024.10637362,pdf/SVCC61185_2024_10637362.pdf,The Impact of Model Variations on the Robustness of Deep Learning Models in Adversarial Settings,https://doi.org/hb28vr
IEEE,10.1109/SVCC61185.2024.10637364,pdf/SVCC61185_2024_10637364.pdf,Unmasking the Vulnerabilities of Deep Learning Models: A Multi-Dimensional Analysis of Adversarial Attacks and Defenses,https://doi.org/hb28vs
IEEE,10.1109/TIFS.2025.3622073,pdf/TIFS_2025_3622073.pdf,AdvChar: Attacking Interpretable NLP Systems,https://doi.org/g97cmw
IEEE,10.1109/TNSM.2022.3200741,pdf/TNSM_2022_3200741.pdf,Effective Multitask Deep Learning for IoT Malware Detection and Identification Using Behavioral Traffic Analysis,https://doi.org/g9b3ct
IEEE,10.1109/access.2017.2718038,pdf/access_2017_2718038.pdf,Merged Ontology and SVM-Based Information Extraction and Recommendation System for Social Robots,https://doi.org/g9cmdz
IEEE,10.1109/access.2017.2768564,pdf/access_2017_2768564.pdf,A Fuzzy Ontology and SVM–Based Web Content Classification System,https://doi.org/gddktn
IEEE,10.1109/access.2018.2852004,pdf/access_2018_2852004.pdf,An Ontology-Based Interpretable Fuzzy Decision Support System for Diabetes Diagnosis,https://doi.org/gkdbvh
IEEE,10.1109/access.2018.2868802,pdf/access_2018_2868802.pdf,Clinical Decision Support System for Liver Fibrosis Prediction in Hepatitis Patients: A Case Comparison of Two Soft Computing Techniques,https://doi.org/gjzwvv
IEEE,10.1109/access.2020.3042273,pdf/access_2020_3042273.pdf,Medical Diagnostic Systems Using Artificial Intelligence (AI) Algorithms: Principles and Perspectives,https://doi.org/g9cmc9
IEEE,10.1109/glocom.2009.5425280,pdf/glocom_2009_5425280.pdf,Software-Based Remote Code Attestation in Wireless Sensor Network,https://doi.org/fqs4ds
IEEE,10.1109/icces.2014.7030954,pdf/icces_2014_7030954.pdf,A proposed SNOMED CT ontology-based encoding methodology for diabetes diagnosis case-base,https://doi.org/ggmd7j
IEEE,10.1109/ictc.2018.8539607,pdf/ictc_2018_8539607.pdf,Feature-based Transportation Sentiment Analysis Using Fuzzy Ontology and SentiWordNet,https://doi.org/g9cmdv
IEEE,10.1109/imcom56909.2023.10035603,pdf/imcom56909_2023_10035603.pdf,Real-time human detection and behavior recognition using low-cost hardware,https://doi.org/hb3f6w
IEEE,10.1109/imcom64595.2025.10857489,pdf/imcom64595_2025_10857489.pdf,End-to-End Optimized Ensemble Model for Alzheimer's Disease Detection,https://doi.org/hb3f7b
IEEE,10.1109/imcom64595.2025.10857525,pdf/imcom64595_2025_10857525.pdf,Knowledge Augmented Significant Language Model-Based Chatbot for Explainable Diabetes Mellitus Prediction,https://doi.org/hb3f6x
IEEE,10.1109/imcom64595.2025.10857582,pdf/imcom64595_2025_10857582.pdf,Leveraging Large Language Models for Smart Pharmacy Systems: Enhancing Drug Safety and Operational Efficiency,https://doi.org/g94xw2
IEEE,10.1109/imcom69009.2026.11360803,pdf/imcom69009_2026_11360803.pdf,Explainable Ensemble Deep Learning Architecture for Fruit Disease Detection for Sustainable Agriculture and Food System Resilience,https://doi.org/hb3f66
IEEE,10.1109/imcom69009.2026.11360837,pdf/imcom69009_2026_11360837.pdf,Towards Reliable and Interpretable Wheat Disease Diagnosis: Unified Framework Incorporating Vision Transformer and Advanced Object Detection,https://doi.org/hb3f65
IEEE,10.1109/imcom69009.2026.11360976,pdf/imcom69009_2026_11360976.pdf,Robust Multi-Scale 3D Crossformer Model for Multimodal Medical Image Analysis using Volumetric MRI and Structured Data,https://doi.org/hb3f67
IEEE,10.1109/infos.2014.7036701,pdf/infos_2014_7036701.pdf,A standard fragment of EHR relational data model for diabetes mellitus diagnosis,https://doi.org/ggmd7k
IEEE,10.1109/niles59815.2023.10296640,pdf/niles59815_2023_10296640.pdf,LSTM deep learning model for Alzheimer’s disease prediction based on cost-effective time series cognitive scores,https://doi.org/hb3f6t
IEEE,10.1109/thms.2015.2449309,pdf/thms_2015_2449309.pdf,UOIT Keyboard: A Constructive Keyboard for Small Touchscreen Devices,https://doi.org/g5h28r
IEEE,10.1109/tr.2025.3646839,pdf/tr_2025_3646839.pdf,2025 Index IEEE Transactions on Reliability Vol. 74,https://doi.org/hb3f69
